date,MA1,MA2,Current Price,Buy/Sell,Shares,PnL,Cash,Value
2013-01-04,146.37,146.37,146.37,--,--,0.00,100000.00,100000.00
2013-01-07,145.97,145.97,145.97,--,--,0.00,100000.00,100000.00
2013-01-08,145.55,145.55,145.55,--,--,0.00,100000.00,100000.00
2013-01-09,145.92,145.92,145.92,--,--,0.00,100000.00,100000.00
2013-01-10,147.08,147.08,147.08,--,--,0.00,100000.00,100000.00
2013-01-11,147.07,147.07,147.07,--,--,0.00,100000.00,100000.00
2013-01-14,146.97,146.97,146.97,--,--,0.00,100000.00,100000.00
2013-01-15,147.07,147.07,147.07,--,--,0.00,100000.00,100000.00
2013-01-16,147.05,147.05,147.05,--,--,0.00,100000.00,100000.00
2013-01-17,148.00,148.00,148.00,--,--,0.00,100000.00,100000.00
2013-01-18,148.33,148.33,148.33,--,--,0.00,100000.00,100000.00
2013-01-22,149.13,149.13,149.13,--,--,0.00,100000.00,100000.00
2013-01-23,149.37,149.37,149.37,--,--,0.00,100000.00,100000.00
2013-01-24,149.41,149.41,149.41,--,--,0.00,100000.00,100000.00
2013-01-25,150.25,150.25,150.25,--,--,0.00,100000.00,100000.00
2013-01-28,150.07,150.07,150.07,--,--,0.00,100000.00,100000.00
2013-01-29,150.66,150.66,150.66,--,--,0.00,100000.00,100000.00
2013-01-30,150.07,150.07,150.07,--,--,0.00,100000.00,100000.00
2013-01-31,149.70,149.70,149.70,--,--,0.00,100000.00,100000.00
2013-02-01,151.24,151.24,151.24,--,--,0.00,100000.00,100000.00
2013-02-04,149.54,149.54,149.54,--,--,0.00,100000.00,100000.00
2013-02-05,151.05,151.05,151.05,--,--,0.00,100000.00,100000.00
2013-02-06,151.16,151.16,151.16,--,--,0.00,100000.00,100000.00
2013-02-07,150.96,150.96,150.96,--,--,0.00,100000.00,100000.00
2013-02-08,151.80,151.80,151.80,--,--,0.00,100000.00,100000.00
2013-02-11,151.77,151.77,151.77,--,--,0.00,100000.00,100000.00
2013-02-12,152.02,152.02,152.02,--,--,0.00,100000.00,100000.00
2013-02-13,152.15,152.15,152.15,--,--,0.00,100000.00,100000.00
2013-02-14,152.29,152.29,152.29,--,--,0.00,100000.00,100000.00
2013-02-15,152.11,152.11,152.11,--,--,0.00,100000.00,100000.00
2013-02-19,153.25,153.25,153.25,--,--,0.00,100000.00,100000.00
2013-02-20,151.34,151.34,151.34,--,--,0.00,100000.00,100000.00
2013-02-21,150.42,150.42,150.42,--,--,0.00,100000.00,100000.00
2013-02-22,151.89,151.89,151.89,--,--,0.00,100000.00,100000.00
2013-02-25,149.00,149.00,149.00,--,--,0.00,100000.00,100000.00
2013-02-26,150.02,150.02,150.02,--,--,0.00,100000.00,100000.00
2013-02-27,151.91,151.91,151.91,--,--,0.00,100000.00,100000.00
2013-02-28,151.61,151.61,151.61,--,--,0.00,100000.00,100000.00
2013-03-01,152.11,152.11,152.11,--,--,0.00,100000.00,100000.00
2013-03-04,152.92,152.92,152.92,--,--,0.00,100000.00,100000.00
2013-03-05,154.29,154.29,154.29,--,--,0.00,100000.00,100000.00
2013-03-06,154.50,154.50,154.50,--,--,0.00,100000.00,100000.00
2013-03-07,154.78,154.78,154.78,--,--,0.00,100000.00,100000.00
2013-03-08,155.44,155.44,155.44,--,--,0.00,100000.00,100000.00
2013-03-11,156.03,156.03,156.03,--,--,0.00,100000.00,100000.00
2013-03-12,155.68,155.68,155.68,--,--,0.00,100000.00,100000.00
2013-03-13,155.90,155.90,155.90,--,--,0.00,100000.00,100000.00
